n_tanks,n_events,mean_energies
9,1,3.229544508100641
11,3,3.2458050555382667
12,14,3.3592897813625058
13,136,3.444669861378427
14,530,3.6637730287229635
15,1125,3.813186017625877
16,1787,4.145059415951616
17,2243,4.497525542458059
18,2603,4.87293308365609
19,2747,5.260191433145149
20,2829,5.7815088890205395
21,3027,6.395930585435453
22,3142,7.06286311472948
23,3088,7.618482401485967
24,3090,8.552770134762111
25,3065,9.300052260081044
26,2935,10.03554458362814
27,2829,11.28192087689163
28,2830,12.643607976071742
29,2677,13.642602633944351
30,2624,15.008753385415808
31,2533,16.466785668127457
32,2549,17.94140233382708
33,2374,19.526670441624063
34,2318,20.832001505594977
35,2191,23.06276225915732
36,2136,24.484691361573418
37,2077,26.442506823208216
38,2054,28.417082794230264
39,2130,30.955905020309736
40,1965,32.657761163773124
41,1894,35.18411455983355
42,1882,36.84362209671679
43,1771,40.12530935919038
44,1804,42.22607607937948
45,1749,44.73171982758377
46,1649,47.91967218811437
47,1609,48.82359371250908
48,1618,51.88383435360803
49,1504,53.80849792748775
50,1458,53.50259429585476
51,1389,56.731369632135504
52,1298,58.25551226956876
53,1223,57.96274738475729
54,1158,60.30898282751869
55,1019,62.07899984274843
56,1032,61.73540262410926
57,891,62.47501647037936
58,827,62.82885766455219
59,797,65.32176078142251
60,763,66.51132864916508
61,678,65.97053258552374
62,614,66.32963602298025
63,624,66.78181265442556
64,485,69.55675924093927
65,437,70.70398864550043
66,456,70.99797894767805
67,405,70.13610060625281
68,392,74.07339997513242
69,392,74.78861918955604
70,320,73.14638181358876
71,280,74.04333759606911
72,255,75.99117070454112
73,245,76.99226820162075
74,203,79.62375098329547
75,184,80.35258828681681
76,171,80.51623690843134
77,136,81.97018832428732
78,139,80.18492443895856
79,104,82.93581564135856
80,98,84.77255168233661
81,87,83.78886863675173
82,86,84.71900425853173
83,49,85.56720014265655
84,34,86.66329881162338
85,41,86.85943954498009
86,24,86.70501306475728
87,21,89.30065001460868
88,16,90.183315335569
89,11,90.85901253942703
90,7,93.26554989368503
91,6,94.69738728717192
92,5,94.11647559370451
93,4,89.97487942481192
94,2,83.83118588497882
95,1,98.43634980630999
98,1,96.91629203562307
